Author,Commit,Message,Date
Ian Dzillan Malik,59ea683,Testing Unit,4/29/2019
Ian Dzillan Malik,1cf13aa,Fix App,4/27/2019
Ayuvira Kusuma,45370fd,fixasi fungsionalitas feedback (Resolve #44),4/25/2019
Ayuvira Kusuma,c176e7b,Fixasi layot feedback Resolve #61,4/25/2019
Fahri Hamzalah,85bba03,memperbaiki fungsionalitas feedback ( ref #44),4/22/2019
Ian Dzillan Malik,f1519ce,Perbaikan Layout About Us Feedback Login Register Profile (Landscapeable) (Resolved #56),4/22/2019
farhan zuhdy,a3d4bf7,Perbaikan fungsional login (ref #3),4/22/2019
Ian Dzillan Malik,aff69b9,Perbaikan Layout Artikel (Resolved #46),4/21/2019
Ian Dzillan Malik,ddfec8f,Perubahan layout pada fragment profile (Resolved #52),4/21/2019
Ian Dzillan Malik,0696fc7,Notifikasi Like Dan Comment Untuk Fitur Postingan Panen (Resolved #55),4/21/2019
Ian Dzillan Malik,bcd647a,Post Detail dan User Profile (Resolved #54),4/21/2019
Ian Dzillan Malik,3f34738,Penambahan Fitur My Forum dan My Panen (Resolved #53),4/20/2019
Ian Dzillan Malik,97505af,Layout + Controller Profile & Edit Profile (Resolved #52),4/18/2019
Ian Dzillan Malik,a3252eb,Controller Menampilkan Comment Pada Postingan Panen (Resolved #51),4/18/2019
Ian Dzillan Malik,b3788ad,Controller Menampilkan Comment User Pada Postingan Forum (Resolved #50),4/18/2019
Ian Dzillan Malik,b996d65,Layout + Controller Pada Fitur Panen (Posting Adapater Like dan Comment) (Resolved #49),4/18/2019
Ian Dzillan Malik,01c8450,Controller Forum (Adapter Like Comment) (Resolved #48),4/17/2019
Muhammad Rafidan,059eb9c,Layout Forum (Untuk Menampilkan Hasil Posting) (Resolved #47),4/17/2019
Ichwan Habibie,1a2c2ad,Pembuatan WebView Fragment Artikel (Resolve #46),4/17/2019
Ian Dzillan Malik,7a6cdd4,Pembuatan Fitur Posting Forum (Resolve #45),4/15/2019
farhan zuhdy,b02797a,M Merge branch 'master' of https://bitbucket.org/rpl2019/farming/app,4/9/2019
farhan zuhdy,00274dd,pembuatan fungsional feedback (ref #44),4/9/2019
