"issue","status","from","user","date"
"26","closed","new","Tien Kusumasari","2019-04-02T04:41:09.848781+00:00"
"25","closed","new","Tien Kusumasari","2019-04-02T04:44:08.481501+00:00"
"14","closed","new","Tien Kusumasari","2019-04-02T04:46:50.624280+00:00"
"24","closed","new","Tien Kusumasari","2019-04-02T04:48:18.153274+00:00"
"15","closed","new","Tien Kusumasari","2019-04-02T04:48:36.398326+00:00"
"15","wontfix","closed","Tien Kusumasari","2019-04-02T04:50:09.783477+00:00"
"27","closed","new","Tien Kusumasari","2019-04-02T04:51:06.920303+00:00"
"31","closed","new","ekky novriza alam","2019-04-30T05:23:51.276088+00:00"
"32","closed","new","ekky novriza alam","2019-04-30T05:26:27.860918+00:00"
"33","closed","new","ekky novriza alam","2019-04-30T05:27:06.797396+00:00"
"30","closed","new","ekky novriza alam","2019-04-30T05:28:28.892256+00:00"
"28","closed","new","ekky novriza alam","2019-04-30T05:28:52.335532+00:00"
"29","closed","new","ekky novriza alam","2019-04-30T05:30:09.116658+00:00"
"16","closed","new","ekky novriza alam","2019-04-30T05:31:36.067617+00:00"
