Author,Commit,Message,Date
Tb Rama Ramadhan,a0f1100,Revisi Android,27/04/19
Muhammad Ishak Syukri,4c63cc1,Back end Konsultasi ref #20,25/04/19
Muhammad Ishak Syukri,f0e8b79,Back end konsultasi #20,25/04/19
Ghalib Mahendra,cc77c1a,Back End Artikel (ref #22),22/04/19
Adityo Satrio,aba27e7,front end artikel ref #24,22/04/19
Ghalib Mahendra,041880a,benerin bug,22/04/19
avisa gavrilla,2584729,front end konsultasi ref#19,22/04/19
Tb Rama Ramadhan,490781e,revisi android,21/04/19
Tb Rama Ramadhan,92c7e22,back end menampilkan profile ref#23,21/04/19
Tb Rama Ramadhan,a5494ca,back end edit profile ref#13,21/04/19
sylvia feng,16a5a7a,front end mengatur profile ref #15,21/04/19
Ghalib Mahendra,081a814,fitur cari rumah sakit (ref #12),11/4/2019
Tb Rama Ramadhan,19137cd,revisi,8/4/2019
Tb Rama Ramadhan,28929eb,benerin bug pas pencet dokter,2/4/2019
Muhammad Ishak Syukri,c8cdd4b,Back end cari jadwal praktek (ref #18),1/4/2019
Tb Rama Ramadhan,53fe8de,fungsi search fitur cari dokter (ref #10),1/4/2019
Tb Rama Ramadhan,11499f8,Back End fitur Cari Dokter (ref #10),1/4/2019
Tb Rama Ramadhan,292a073,memasukan fitur cari dokter ke home (ref #10),30/03/19
Adityo Satrio,03c95ae,Back End Fitur Cari Rumah Sakit (ref #16),30/03/19
Ghalib Mahendra,0c8cdeb,Front end Cari rumah sakit (ref #12),30/03/19
avisa gavrilla,280e2c3,revisi layout jadwal praktek (ref #11),29/03/19
sylvia feng,0f71409,Front end Cari Dokter (ref #14),29/03/19
Adityo Satrio,0d67004,Sign Out (ref #21),29/03/19
sylvia feng,bd55553,Login Fungsional (ref #3),29/03/19
avisa gavrilla,d7ceb77,layout_jadwal praktek #11,29/03/19
avisa gavrilla,d7ceb77,layout_jadwal praktek #11,3/29/2019
