Author,Commit,Message,Date
Sevira Hendari Pratiwi,e8d8c37,revisi ref#13,2019‑04‑30
Rahkmah Nabila,0a6cb21,revisi,2019‑04‑29
Nisya,1040054,Update fitur filter tempat tujuan ref#19,2019‑04‑23
Sevira Hendari Pratiwi,b7cd4ec,Melakukan update pada tampilan validasi user ref#13,2019‑04‑23
Rahkmah Nabila,fbbd56b,Membuat layout Fitur Chat/Message dan memperbaki Chat.java ref#21,2019‑04‑23
ben hughie,81bd863,Membuat Filter Keberangkatan 2 (ref #27),2019‑04‑22
ben hughie,d755fac,Front-end [3][4]Membuat Filter Keberangkatan (ref #26),2019‑04‑22
muhammad fikri makmur,7087a02,update chat to whatsup and firebase #21,2019‑04‑22
Nisya,196aecd,Membuat fitur filter tempat tujuan ref#19,2019‑04‑09
Anisa Agustina,cf42eea,Membuat fitur filter rekomendasi ref#18,2019‑04‑09
Rahkmah Nabila,51b213b,Memperbaiki code eror pada adapterData ref#23,2019‑04‑09
Sevira Hendari Pratiwi,3bb3ae3,Membuat halaman validasi user ref#13,2019‑04‑08
muhammad fikri makmur,11acc33,Fitur chat #21,2019‑04‑08
Anisa Agustina,3092192,Membuat halaman konfirmasi transaksi ref#25 menambahkan halaman konfirmasii,2019‑04‑02
Nisya,0f12117,Membuat halaman review titipan ref#23,2019‑04‑02
Nisya,9d5af6b,halaman titipan ref#22,2019‑04‑02
Sevira Hendari Pratiwi,eeaa6e1,Melakukan perbaikan pada halaman pembayaran ref#24,2019‑04‑01
muhammad fikri makmur,de9db6e,Membuat API location dan menyambungkan pada location user ref #15,2019‑04‑01
Rahkmah Nabila,3e9cff4,mengatasi eror pada run pembayaran ref #24,2019‑04‑01
muhammad fikri makmur,0a9d2f8,Menyambungkan API maps (Location) ref #15,2019‑04‑01
Sevira Hendari Pratiwi,cd5d739,Membuat halaman pembayaran ref#24,2019‑03‑29
Rahkmah Nabila,c032617,connect to firebase,2019‑03‑28
Rahkmah Nabila,5ad2293,Memperbaiki beberapa code dan menambahkan tampilan trip local ref#16,2019‑03‑28
Nisya,0f1ba05,Membuat halaman trip local ref#16,2019‑03‑26
Sevira Hendari Pratiwi,55b931a,Membuat halaman validasi user (update) ref#13,2019‑03‑26
Anisa Agustina,adc1a54,Membuat halaman trip internasional ref#17,2019‑03‑26
Rahkmah Nabila,87c8c71,melengkapi code untuk database registrasi firebase ref#7,2019‑03‑25
Rahkmah Nabila,9a2b4ee,Menambahkan code back end fitur chat ref#21,2019‑03‑25
muhammad fikri makmur,ab00d69,memperbaiki tampilan trip_lokal menggunakan fragmen pada menu navigation bar#16,2019‑03‑25
muhammad fikri makmur,645b511,memperbaiki tampilan trip_lokal menggunakan fragmen pada menu navigation bar#16,2019‑03‑25
Anisa Agustina,060c6ef,Membuat halaman trip internasional #26,2019‑03‑20
Anisa Agustina,ec5b785,membuat halaman trip internasional,2019‑03‑20
muhammad fikri makmur,c9bed85,membuat tampilan halaman titipan #22,2019‑03‑19
ben hughie,b69f790,Membuat tampilan filter keberangkatan Membuat tampilan filter keberangkatan dengan menggunakan pesawat Terdapat antara lain TextView Spinner Button dan lainnya Membuat layout dengan menggunakan warna yang ada sama dengan sebelumnya (Sprint 1),2019‑03‑19
Nisya,005cba5,Membuat halaman trip local,2019‑03‑19
Sevira Hendari Pratiwi,e444df3,Membuat Tampilan untuk validasi user #13,2019‑03‑19
Rahkmah Nabila,364713a,Membuat tampilan activity_chat.xml #21,2019‑03‑19
Rahkmah Nabila,698b4b0,membuat database registrasi & mengubah registrasiactivity #7,2019‑03‑19
ben hughie,cad5335,Mengedit tampilan into slider 3 (tombol next edit font),2019‑03‑19
Nisya,f8e0d72,update tampilan slider 2,2019‑03‑18
Sevira Hendari Pratiwi,f6a4119,Mengubah posisi button Next pada intro slider 1 dan mengubah fontsize,2019‑03‑18
muhammad fikri makmur,507825,update backend #2,2019‑03‑18
muhammad fikri makmur,9cd6b47,Update backend,2019‑03‑18
Rahkmah Nabila,396f225,membuat firebase dan menyambungkannya ke project #7,2019‑03‑17
ben hughie,c68b5e6,Tampilan Intro Slider 3,2019‑03‑04
ben hughie,dc67b0f,Intro Slider 3,2019‑03‑04
muhammad fikri makmur,8a7abec,Update tampilan lupa password untuk memasukkan email mengirim password baru ke email user #2,2019‑03‑02
muhammad fikri makmur,7e0aa17,Update tampilan lupa password untuk memasukkan email mengirim password baru ke email user,2019‑03‑02
Anisa Agustina,ed47667,memperbaiki eror pada lupa password yang beradi di manifest dan main activity,2019‑03‑01
Rahkmah Nabila,d381bea,tampilan halaman utama pada activity_halaman_utama.xml #6,2019‑03‑01
Nisya,71f5274,tampilan intro slider 2,2019‑02‑28
Sevira Hendari Pratiwi,03677f6,membuat tampilan slider 1,2019‑02‑28
ben hughie,dad12fc,buat layout User Profile #3,2019‑02‑26
Nisya,0425ce5,login,2019‑02‑25
Rahkmah Nabila,7d5644c,tambah Logcat pada MainActivity,2019‑02‑25
Anisa Agustina,4a29153,lupaPassword #2,2019‑02‑20
Sevira Hendari Pratiwi,3c122b0,layoutRegistrasi #1,2019‑02‑20
muhammad fikri makmur,8c2037b,MainActivity RegistrasiActivity,2019‑02‑20
rahkmahnabila,8c0127d,Splash screen,2019‑02‑18
