Author,Commit,Message,Date
Hanif Ramadhan,2681e9b,Final,2019‑04‑29
dennis cunong,3d514ee,Rotate Landscape Feed,2019‑04‑26
Ilham Satria,5cbeff8,Rotate Landscape Home,2019‑04‑26
aprilia widyas,16ce644,intent setting,2019‑04‑26
Hanif Ramadhan,cf73c41,Merapihkan Kodingan,2019‑04‑26
Rizka Fadhilah,a359369,Perbaikan backend Transportasi#64,2019‑04‑25
Hanif Ramadhan,4c3e411,Search,2019‑04‑24
Hanif Ramadhan,1db2f07,Search,2019‑04‑24
Ilham Satria,175e3b5,Back end fitur Search #56,2019‑04‑22
Rizka Fadhilah,d81e095,Backend menu Transprtasi Resolved#64,2019‑04‑21
Rizka Fadhilah,098000d,Backend Menu Transportasi Resolved#64,2019‑04‑21
aprilia widyas,01a8b47,Setting Share Preference baru 2,2019‑04‑20
aulia ikhsanati,c3ee3a2,front end transportasi #63,2019‑04‑20
Hanif Ramadhan,0308a6b,Menyelesaikan Feed #13 #62,2019‑04‑20
Rizka Fadhilah,90bf8bf,Progress Setting,2019‑04‑16
aulia ikhsanati,42d06ca,perbaikan edit profile #61,2019‑04‑16
Hanif Ramadhan,49fd7c5,Membuat Filter Kategori,2019‑04‑11
Ilham Satria,024837f,Membuat Back End fitur Search #56,2019‑04‑09
dennis cunong,9eb9c02,Membuat Front End Search #3,2019‑04‑09
Hanif Ramadhan,8909d9e,Membuat Layout Tranportasi #63,2019‑04‑09
aprilia widyas,81adc17,Membuat front-end About Us. Resolve#54,2019‑04‑09
aulia ikhsanati,7d0366e,progress #61,2019‑04‑09
Rizka Fadhilah,ed93294,Merge branch 'interface-improvement',2019‑04‑08
Rizka Fadhilah,a5f37db,workspace.xml,2019‑04‑08
Rizka Fadhilah,471781d,Perbaikan Layout,2019‑04‑08
Hanif Ramadhan,e545307,Solved Backend dan Front End Maps #32 #41 #49,2019‑04‑02
aulia ikhsanati,d1b9121,solve error,2019‑04‑02
aprilia widyas,d3ba85a,solve conflict,2019‑04‑02
aprilia widyas,dfd9c93,solve error 1,2019‑04‑02
aprilia widyas,406a099,merge branch,2019‑04‑02
Hanif Ramadhan,bd956d1,Merge remote-tracking branch 'origin/ilhamsatria' Conflicts: .gradle/buildOutputCleanup/buildOutputCleanup.lock .idea/misc.xml .idea/workspace.xml app/app.iml,2019‑04‑01
Hanif Ramadhan,9d62bf3,Merged in dennis_konten (pull request #3) Membuat front end profile #55,2019‑04‑01
Ilham Satria,e4cb93c,Membuat front end profile #55,2019‑04‑01
Rizka Fadhilah,20567bd,Membuat frontend backend weather #52 #53,2019‑04‑01
aulia ikhsanati,bcbe7e1,Final BackEnd Feedback #27 #37 #48,2019‑04‑01
dennis cunong,264facf,Final BackEnd Konten #44 #35 #,2019‑04‑01
Hanif Ramadhan,72919c9,Membetulkan Feed,2019‑03‑26
Ilham Satria,07c2af3,Membuat backend filter,2019‑03‑26
Ilham Satria,8853dba,Membuat back end filter,2019‑03‑26
dennis cunong,bbd6bdb,Membuat Front End Edit Profile,2019‑03‑26
dennis cunong,20ae9a1,Membuat back end weather #53,2019‑03‑26
dennis cunong,a777582,Membuat Front End Edit Profile,2019‑03‑26
aprilia widyas,27c513e,rating baru setengah jalan masih belum ke firebase,2019‑03‑26
Rizka Fadhilah,1ee4622,Membuat back end weather #53,2019‑03‑25
aulia ikhsanati,6bcdfaf,Backend Registrasi Solve #59,2019‑03‑24
aulia ikhsanati,9de9b79,front end dan back end registrasi,2019‑03‑24
dennis cunong,133d8e5,Membuat Pencarian Lokasi dengan Aplikasi Google Maps pada Kategori Pariwisata,2019‑03‑19
aprilia widyas,accd99b,Membuat Layout Diskusi,2019‑03‑19
aulia ikhsanati,fd341e7,layout feedback pada seluruh kategori,2019‑03‑19
Rizka Fadhilah,4153724,Membuat front end weather #52,2019‑03‑19
Hanif Ramadhan,c67bcde,Login with email #18,2019‑03‑19
Hanif Ramadhan,f1607fc,Membuat Fitur Upload Konten,2019‑03‑18
Hanif Ramadhan,36c6ae0,Update pada Sidebar 1,2019‑03‑12
aulia ikhsanati,2ebf33a,resolve #13,2019‑03‑04
dennis cunong,ecbc160,Membuat Front End Fitur Oleh-Oleh Malang,2019‑03‑03
Rizka Fadhilah,071a4ef,Merge branch 'master' of https://bitbucket.org/rpl2019/xplore-malang,2019‑03‑03
Rizka Fadhilah,693ce2b,Membuat Rating pada fitur Pariwisata #12,2019‑03‑03
Ilham Satria,058c976,Membuat Front End Kuliner #11,2019‑03‑03
aulia ikhsanati,4d0ea6f,Membuat Layout Fitur Feedback #9,2019‑03‑03
Hanif Ramadhan,3e82b7f,Menampilkan foto ke Feed #8,2019‑03‑02
